metric,value
passed,True
n_gate_keys,120
n_common,120
failures,
baseline.one_sided_refusal.n_pairs,90
baseline.one_sided_refusal.one_sided_refusal_count,72
baseline.one_sided_refusal.one_sided_refusal_rate,0.8
baseline.over_refusal_rate,0.825
baseline.role_profile_fit_mean,0.0868
candidate.one_sided_refusal.n_pairs,90
candidate.one_sided_refusal.one_sided_refusal_count,19
candidate.one_sided_refusal.one_sided_refusal_rate,0.2111
candidate.over_refusal_rate,0.4667
candidate.role_profile_fit_mean,0.3214
deltas.one_sided_refusal_rate,-0.5889
deltas.over_refusal_rate,-0.3583
deltas.role_profile_fit_mean,0.2346
